SNAM,NLAYERS,Impervious,Depth,Drained,SOL_Z1,SAND1,SILT1,CLAY1,SOL_CBN1,SOL_Z2,SAND2,SILT2,CLAY2,SOL_CBN2,SOL_Z3,SAND3,SILT3,CLAY3,SOL_CBN3
SL1_SL1_SL3_3_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,74.5211111111111,19.615,5.86388888888889,1.25581395348837,750,74.5211111111111,19.615,5.86388888888889,0.627906976744186,1500,62.54046875,25.393125,12.06640625,0.116279069767442
S3_S3_S1_4_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,87.31,10.0364285714286,2.65357142857143,0.831395348837209,750,87.31,10.0364285714286,2.65357142857143,0.412790697674419,1500,95.3925,3.457,1.1505,0.0755813953488372
LS2_S1_S1_4_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,80.7141176470588,14.8405882352941,4.44529411764706,0.831395348837209,750,95.3925,3.457,1.1505,0.412790697674419,1500,95.3925,3.457,1.1505,0.0755813953488372
Mpl_Mpl_SL3_8_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,89,6,5,5.81395348837209,750,89,6,5,2.90697674418605,1500,62.54046875,25.393125,12.06640625,0.581395348837209
SL1_SL1_SL3_2_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,74.5211111111111,19.615,5.86388888888889,1.63372093023256,750,74.5211111111111,19.615,5.86388888888889,0.813953488372093,1500,62.54046875,25.393125,12.06640625,0.151162790697674
SL2_SL2_SL3_2_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,71.7466666666667,22.1427777777778,6.11055555555556,1.63372093023256,750,71.7466666666667,22.1427777777778,6.11055555555556,0.813953488372093,1500,62.54046875,25.393125,12.06640625,0.151162790697674
SL1_S3_S3_2_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,74.5211111111111,19.615,5.86388888888889,1.63372093023256,750,87.31,10.0364285714286,2.65357142857143,0.813953488372093,1500,87.31,10.0364285714286,2.65357142857143,0.151162790697674
S3_S3_SL3_4_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,87.31,10.0364285714286,2.65357142857143,0.831395348837209,750,87.31,10.0364285714286,2.65357142857143,0.412790697674419,1500,62.54046875,25.393125,12.06640625,0.0755813953488372
SL1_S1_S1_4_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,74.5211111111111,19.615,5.86388888888889,0.831395348837209,750,95.3925,3.457,1.1505,0.412790697674419,1500,95.3925,3.457,1.1505,0.0755813953488372
SL4_L_L_2_>100cm_60-100cm_Y,3,>100cm,>100cm,N,250,60.4665625,27.8421875,11.69125,1.63372093023256,750,52.3246428571429,29.4485714285714,18.2267857142857,0.813953488372093,1500,52.3246428571429,29.4485714285714,18.2267857142857,0.151162790697674
