"lu","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021","y_2022"
"field_98","trit","trit","barl","trit","mint","corn","corn","corn"
"field_99","canp","onio","sgbt","lett","sgbt","sgbt","wwht","sgbt"
"field_100","trit","trit","wwht","trit","mint","corn","corn","corn"
"field_101","trit","wwht","wwht","corn","mint","wwht","wwht","sgbt"
"field_102","canp","trit","trit","corn","corn","trit","wwht","corn"
"field_103","corn","wwht","trit","trit","alfa","trit","wwht","lett"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_105","trit","trit","corn","trit","trit","trit","wwht","trit"
"field_106","trit","alfa","alfa","alfa","alfa","alfa","barl","alfa"
"field_107","barl","trit","trit","trit","barl","trit","barl","wwht"
"field_108","trit","alfa","alfa","alfa","alfa","alfa","barl","alfa"
"field_109","alfa","trit","corn","trit","trit","mint","wwht","trit"
"field_110","trit","trit","corn","alfa","alfa","trit","onio","corn"
"field_111","wwht","trit","barl","sgbt","wwht","canp","canp","corn"
"field_112","trit","barl","trit","corn","wwht","sgbt","wwht","corn"
"field_113","wwht","trit","sgbt","trit","wwht","canp","canp","corn"
"field_114","barl","alfa","corn","trit","corn","onio","barl","canp"
"field_115","barl","corn","corn","trit","corn","onio","barl","canp"
"field_116","trit","alfa","corn","trit","corn","corn","barl","canp"
"field_117","alfa","trit","corn","trit","alfa","trit","alfa","trit"
"field_118","corn","alfa","corn","trit","alfa","trit","onio","alfa"
"field_119","trit","alfa","barl","barl","trit","trit","wwht","trit"
"field_120","alfa","alfa","corn","trit","barl","trit","wwht","trit"
"field_121","trit","trit","trit","trit","trit","trit","trit","mint"
"field_122","trit","trit","trit","trit","trit","trit","trit","trit"
"field_123","trit","alfa","barl","alfa","corn","corn","trit","trit"
"field_124","trit","alfa","barl","wwht","trit","trit","trit","mint"
"field_125","mint","canp","sgbt","mint","mint","mint","barl","sgbt"
"field_126","barl","wwht","corn","barl","barl","barl","corn","mint"
"field_127","sgbt","sgbt","sgbt","onio","lett","wwht","corn","lett"
"field_128","onio","barl","barl","onio","wwht","onio","wwht","onio"
"field_129","wwht","corn","sgbt","trit","onio","wwht","corn","wwht"
"field_130","canp","trit","barl","canp","alfa","trit","trit","corn"
"field_131","canp","canp","trit","canp","canp","canp","trit","canp"
"field_132","canp","canp","trit","alfa","canp","canp","trit","canp"
"field_133","trit","wwht","trit","trit","trit","trit","trit","trit"
"field_134","onio","sgbt","sgbt","trit","corn","trit","alfa","corn"
"field_135","wwht","wwht","wwht","wwht","mint","wwht","wwht","mint"
"field_136","corn","barl","barl","trit","corn","wwht","wwht","corn"
"field_137","corn","trit","corn","corn","onio","corn","corn","corn"
"field_138","trit","trit","trit","trit","wwht","corn","corn","wwht"
"field_139","trit","trit","trit","trit","wwht","wwht","mint","wwht"
"field_140","alfa","alfa","trit","trit","trit","barl","barl","corn"
"field_141","alfa","alfa","alfa","alfa","alfa","alfa","barl","alfa"
"field_142","barl","sgbt","wwht","canp","lett","lett","mint","mint"
"field_143","trit","barl","trit","trit","trit","trit","wwht","trit"
"field_144","canp","alfa","corn","alfa","trit","corn","corn","mint"
"field_145","trit","trit","sgbt","mint","trit","corn","corn","crrt"
"field_146","sgbt","trit","trit","mint","mint","trit","alfa","mint"
"field_147","sgbt","trit","trit","trit","trit","trit","alfa","alfa"
"field_148","trit","canp","trit","trit","trit","trit","trit","crrt"
"field_149","alfa","trit","trit","alfa","trit","alfa","trit","alfa"
"field_150","trit","trit","trit","trit","trit","trit","trit","mint"
"field_151","barl","corn","barl","corn","wwht","onio","barl","mint"
"field_152","corn","alfa","sgbt","alfa","corn","lett","corn","wwht"
"field_153","barl","alfa","corn","sgbt","sgbt","sgbt","crrt","sgbt"
"field_154","barl","trit","corn","corn","corn","sgbt","crrt","sgbt"
"field_155","trit","trit","trit","trit","trit","trit","trit","trit"
"field_156","barl","barl","corn","sgbt","wwht","corn","sgbt","barl"
"field_157","trit","trit","trit","corn","corn","wwht","trit","trit"
"field_158","trit","mint","trit","trit","trit","trit","trit","mint"
"field_159","trit","wwht","barl","mint","mint","mint","corn","lett"
"field_160","trit","corn","trit","trit","wwht","corn","wwht","wwht"
"field_161","trit","alfa","corn","alfa","barl","corn","barl","wwht"
"field_162","alfa","alfa","trit","alfa","alfa","alfa","barl","trit"
"field_163","canp","corn","corn","barl","trit","wwht","corn","wwht"
"field_164","canp","alfa","trit","trit","alfa","trit","corn","trit"
"field_165","corn","corn","barl","alfa","mint","barl","wwht","corn"
"field_166","canp","corn","corn","barl","trit","wwht","corn","wwht"
"field_167","trit","alfa","alfa","alfa","trit","trit","trit","alfa"
"field_168","barl","alfa","alfa","trit","trit","onio","trit","corn"
"field_169","alfa","trit","alfa","alfa","mint","alfa","trit","alfa"
"field_170","corn","corn","wwht","corn","corn","corn","wwht","corn"
"field_171","corn","corn","wwht","trit","wwht","corn","corn","corn"
"field_172","trit","corn","corn","trit","corn","corn","corn","corn"
"field_173","canp","corn","sgbt","corn","corn","corn","sgbt","corn"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_175","barl","trit","corn","trit","trit","corn","wwht","trit"
"field_176","trit","barl","corn","wwht","wwht","barl","trit","mint"
"field_177","trit","wwht","barl","trit","wwht","trit","barl","trit"
"field_178","alfa","alfa","alfa","alfa","alfa","trit","wwht","corn"
"field_179","trit","sgbt","corn","alfa","barl","corn","corn","corn"
"field_180","trit","alfa","corn","barl","barl","corn","corn","corn"
"field_181","trit","sgbt","corn","alfa","crrt","corn","onio","corn"
"field_182","alfa","alfa","sgbt","sgbt","corn","corn","corn","wwht"
"field_183","trit","wwht","sgbt","sgbt","barl","trit","wwht","trit"
"field_184","trit","wwht","corn","trit","trit","barl","trit","trit"
"field_185","barl","alfa","barl","trit","trit","trit","trit","corn"
"field_186","wwht","barl","corn","wwht","onio","wwht","corn","wwht"
"field_187","trit","corn","corn","wwht","barl","wwht","barl","wwht"
"field_188","trit","onio","corn","alfa","barl","trit","barl","trit"
"field_189","wwht","barl","corn","trit","onio","wwht","trit","corn"
"field_190","trit","wwht","barl","corn","barl","corn","wwht","trit"
"field_191","trit","trit","barl","alfa","barl","corn","wwht","trit"
"field_192","wwht","wwht","barl","barl","wwht","barl","corn","barl"
"field_193","wwht","sgbt","lett","wwht","wwht","wwht","wwht","wwht"
"field_194","sgbt","corn","sgbt","canp","wwht","corn","wwht","wwht"
"field_195","trit","trit","trit","trit","canp","wwht","corn","alfa"
"field_196","wwht","trit","canp","alfa","wwht","canp","wwht","corn"
"field_197","sgbt","sgbt","sgbt","canp","lett","lett","wwht","canp"
"field_198","corn","corn","corn","corn","corn","corn","corn","corn"
"field_199","corn","corn","corn","corn","corn","corn","corn","corn"
"field_200","corn","corn","corn","alfa","corn","corn","corn","corn"
"field_201","corn","corn","corn","mint","corn","corn","corn","corn"
"field_202","corn","corn","corn","trit","alfa","corn","trit","alfa"
"field_203","trit","trit","alfa","alfa","mint","alfa","trit","alfa"
"field_204","trit","trit","corn","alfa","trit","trit","corn","corn"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_206","trit","trit","trit","trit","mint","trit","trit","mint"
"field_207","trit","sgbt","sgbt","mint","mint","corn","wwht","wwht"
"field_208","trit","corn","barl","trit","corn","wwht","wwht","trit"
"field_209","wwht","alfa","corn","wwht","corn","corn","wwht","canp"
"field_210","wwht","wwht","trit","corn","wwht","wwht","wwht","canp"
"field_211","trit","wwht","wwht","corn","corn","corn","wwht","wwht"
"field_212","alfa","alfa","alfa","alfa","alfa","corn","corn","mint"
"field_213","trit","corn","corn","alfa","corn","corn","corn","corn"
"field_214","trit","alfa","trit","corn","corn","corn","corn","trit"
"field_215","alfa","mint","corn","mint","mint","barl","barl","corn"
"field_216","alfa","alfa","barl","alfa","barl","barl","wwht","wwht"
"field_217","alfa","alfa","alfa","trit","mint","alfa","barl","trit"
"field_218","onio","corn","trit","alfa","mint","wwht","trit","onio"
"field_219","alfa","alfa","alfa","trit","mint","wwht","wwht","trit"
"field_220","canp","canp","canp","canp","canp","canp","wwht","canp"
"field_221","trit","alfa","alfa","alfa","alfa","corn","corn","trit"
"field_222","alfa","alfa","alfa","trit","barl","wwht","barl","alfa"
"field_223","trit","trit","corn","mint","mint","mint","corn","mint"
"field_224","trit","trit","corn","trit","mint","alfa","barl","trit"
"field_225","trit","trit","trit","alfa","mint","trit","barl","trit"
"field_226","trit","wwht","trit","onio","barl","wwht","wwht","trit"
"field_227","trit","wwht","barl","trit","trit","onio","barl","trit"
"field_228","trit","trit","trit","canp","trit","alfa","corn","alfa"
"field_229","barl","wwht","wwht","barl","wwht","trit","corn","mint"
"field_230","trit","onio","wwht","alfa","mint","trit","corn","mint"
"field_231","corn","barl","wwht","barl","mint","trit","corn","mint"
"field_232","trit","trit","alfa","alfa","trit","trit","mint","alfa"
"field_233","lett","onio","lett","onio","onio","lett","wwht","lett"
"field_234","trit","onio","barl","wwht","mint","wwht","wwht","mint"
"field_235","trit","trit","barl","wwht","barl","wwht","wwht","trit"
"field_236","trit","wwht","wwht","trit","onio","onio","wwht","trit"
"field_237","trit","trit","corn","onio","trit","alfa","trit","alfa"
"field_238","wwht","alfa","barl","barl","wwht","wwht","trit","trit"
"field_239","barl","barl","barl","corn","corn","onio","canp","wwht"
"field_240","alfa","alfa","alfa","alfa","alfa","alfa","canp","alfa"
"field_241","trit","sgbt","barl","trit","trit","wwht","barl","mint"
"field_242","wwht","wwht","trit","sgbt","barl","corn","wwht","wwht"
