"lu","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021","y_2022"
"field_1105","wwht","trit","trit","trit","sgbt","barl","wwht","onio"
"field_1106","trit","alfa","sgbt","alfa","trit","wwht","barl","trit"
"field_1107","corn","alfa","alfa","alfa","alfa","lett","alfa","alfa"
"field_1108","wwht","sgbt","corn","corn","wwht","barl","wwht","corn"
"field_1109","trit","trit","trit","trit","trit","corn","corn","corn"
"field_1110","corn","alfa","alfa","trit","alfa","alfa","wwht","trit"
"field_1111","trit","trit","alfa","trit","trit","corn","wwht","mint"
"field_1112","sgbt","corn","wwht","trit","corn","sgbt","wwht","canp"
"field_1113","sgbt","corn","wwht","trit","mint","sgbt","wwht","onio"
"field_1114","canp","canp","sgbt","canp","canp","canp","wwht","canp"
"field_1115","corn","alfa","corn","trit","alfa","wwht","wwht","corn"
"field_1116","corn","wwht","sgbt","trit","onio","sgbt","wwht","mint"
"field_1117","alfa","trit","trit","alfa","alfa","trit","wwht","alfa"
"field_1118","trit","corn","trit","trit","wwht","corn","corn","trit"
"field_1119","trit","onio","trit","alfa","trit","barl","corn","trit"
"field_1120","mint","mint","barl","barl","crrt","wwht","mint","wwht"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_1122","trit","barl","corn","wwht","corn","wwht","onio","wwht"
"field_1123","sgbt","wwht","wwht","trit","corn","wwht","sgbt","wwht"
"field_1124","alfa","trit","corn","alfa","trit","corn","trit","corn"
"field_1125","trit","sgbt","corn","trit","barl","crrt","wwht","corn"
"field_1126","corn","wwht","sgbt","wwht","onio","wwht","mint","wwht"
"field_1127","trit","sgbt","wwht","barl","mint","mint","mint","onio"
"field_1128","corn","wwht","sgbt","trit","onio","wwht","corn","wwht"
"field_1129","trit","alfa","trit","alfa","alfa","onio","barl","corn"
"field_1130","trit","alfa","corn","barl","alfa","corn","barl","alfa"
"field_1131","trit","trit","corn","trit","barl","trit","corn","corn"
"field_1132","canp","canp","corn","alfa","alfa","trit","alfa","canp"
"field_1133","barl","sgbt","corn","wwht","corn","wwht","alfa","corn"
"field_1134","canp","barl","barl","sgbt","barl","wwht","onio","sgbt"
"field_1135","sgbt","alfa","barl","wwht","barl","wwht","wwht","corn"
"field_1136","corn","onio","barl","wwht","barl","wwht","wwht","crrt"
"field_1137","wwht","corn","corn","corn","corn","onio","trit","trit"
"field_1138","trit","trit","corn","alfa","trit","wwht","wwht","wwht"
"field_1139","trit","wwht","trit","corn","corn","corn","corn","corn"
"field_1140","wwht","corn","barl","wwht","barl","wwht","barl","wwht"
"field_1141","wwht","corn","corn","wwht","wwht","onio","wwht","barl"
"field_1142","trit","corn","wwht","wwht","barl","wwht","wwht","wwht"
"field_1143","barl","canp","trit","canp","corn","sgbt","corn","wwht"
"field_1144","wwht","canp","wwht","sgbt","mint","wwht","canp","wwht"
"field_1145","corn","wwht","canp","trit","canp","wwht","sgbt","wwht"
"field_1146","canp","corn","corn","sgbt","wwht","canp","wwht","canp"
"field_1147","canp","barl","corn","alfa","wwht","canp","trit","sgbt"
"field_1148","canp","trit","sgbt","corn","wwht","canp","wwht","corn"
"field_1149","corn","trit","canp","trit","canp","trit","sgbt","wwht"
"field_1150","corn","corn","trit","canp","trit","canp","trit","sgbt"
"field_1151","wwht","wwht","corn","wwht","mint","wwht","trit","corn"
"field_1152","trit","alfa","trit","alfa","alfa","corn","wwht","wwht"
"field_1153","trit","corn","barl","trit","wwht","corn","sgbt","corn"
"field_1154","canp","alfa","alfa","alfa","alfa","alfa","crrt","trit"
"field_1155","canp","canp","canp","canp","canp","canp","crrt","canp"
"field_1156","wwht","onio","corn","barl","trit","barl","crrt","corn"
"field_1157","trit","alfa","corn","trit","alfa","corn","wwht","wwht"
"field_1158","trit","corn","barl","wwht","mint","lett","sgbt","wwht"
"field_1159","canp","canp","trit","alfa","alfa","trit","sgbt","trit"
"field_1160","trit","corn","barl","wwht","sgbt","mint","wwht","wwht"
"field_1161","trit","alfa","corn","alfa","barl","wwht","wwht","alfa"
"field_1162","trit","corn","wwht","trit","barl","corn","wwht","wwht"
"field_1163","canp","canp","canp","canp","lett","sgbt","corn","canp"
"field_1164","alfa","alfa","mint","mint","mint","mint","wwht","mint"
"field_1165","barl","alfa","corn","mint","wwht","wwht","crrt","alfa"
"field_1166","trit","alfa","corn","trit","barl","corn","wwht","wwht"
"field_1167","trit","corn","barl","corn","mint","mint","sgbt","corn"
"field_1168","trit","corn","corn","corn","mint","corn","sgbt","corn"
"field_1169","alfa","alfa","alfa","alfa","alfa","alfa","sgbt","corn"
"field_1170","barl","wwht","canp","trit","wwht","canp","wwht","corn"
"field_1171","canp","trit","trit","corn","corn","barl","barl","canp"
"field_1172","alfa","wwht","alfa","trit","mint","corn","corn","mint"
"field_1173","trit","trit","corn","alfa","mint","alfa","sgbt","alfa"
"field_1174","trit","alfa","trit","mint","wwht","corn","corn","corn"
"field_1175","wwht","barl","wwht","wwht","wwht","sgbt","barl","wwht"
"field_1176","trit","sgbt","barl","trit","mint","sgbt","mint","barl"
"field_1177","trit","trit","corn","trit","onio","trit","trit","trit"
"field_1178","trit","mint","barl","mint","mint","wwht","mint","wwht"
"field_1179","trit","trit","corn","alfa","barl","alfa","wwht","barl"
"field_1180","barl","trit","trit","canp","mint","corn","wwht","canp"
"field_1181","canp","barl","sgbt","wwht","onio","wwht","wwht","corn"
"field_1182","trit","corn","trit","corn","trit","barl","corn","trit"
"field_1183","barl","trit","barl","trit","barl","wwht","trit","alfa"
"field_1184","trit","trit","trit","trit","onio","alfa","trit","corn"
"field_1185","trit","onio","trit","trit","onio","corn","trit","trit"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_1187","trit","trit","corn","trit","wwht","trit","wwht","corn"
"field_1188","lett","alfa","corn","wwht","barl","trit","wwht","trit"
"field_1189","trit","trit","wwht","corn","barl","wwht","trit","corn"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_1191","alfa","alfa","barl","alfa","alfa","corn","corn","trit"
"field_1192","trit","trit","trit","onio","trit","corn","corn","trit"
"field_1193","alfa","trit","corn","trit","wwht","corn","barl","corn"
"field_1194","corn","wwht","corn","wwht","onio","wwht","corn","trit"
"field_1195","alfa","alfa","corn","trit","wwht","corn","trit","corn"
"field_1196","trit","corn","corn","trit","mint","trit","trit","wwht"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_1198","alfa","alfa","barl","barl","alfa","barl","alfa","alfa"
"field_1199","trit","trit","sgbt","trit","trit","trit","mint","mint"
"field_1200","trit","trit","sgbt","trit","trit","canp","mint","mint"
"field_1201","trit","trit","sgbt","trit","trit","canp","trit","trit"
"field_1202","trit","corn","corn","trit","alfa","corn","wwht","wwht"
"field_1203","trit","crrt","corn","trit","trit","onio","wwht","mint"
"field_1204","trit","trit","trit","trit","trit","mint","trit","trit"
"field_1205","canp","trit","trit","onio","mint","sgbt","onio","onio"
"field_1206","trit","trit","trit","alfa","trit","trit","trit","sgbt"
"field_1207","corn","wwht","wwht","sgbt","wwht","wwht","wwht","corn"
"field_1208","alfa","corn","mint","trit","trit","mint","onio","onio"
"field_1209","trit","sgbt","barl","trit","lett","mint","sgbt","corn"
"field_1210","trit","wwht","canp","trit","trit","wwht","canp","trit"
"field_1211","trit","trit","canp","trit","trit","trit","canp","trit"
"field_1212","trit","trit","canp","trit","mint","trit","canp","trit"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_1214","trit","wwht","canp","trit","trit","sgbt","barl","trit"
"field_1215","trit","mint","trit","trit","mint","trit","trit","mint"
"field_1216","trit","trit","trit","trit","trit","trit","trit","alfa"
"field_1217","trit","trit","corn","trit","trit","trit","trit","trit"
"field_1218","trit","alfa","barl","trit","wwht","onio","wwht","wwht"
"field_1219","trit","trit","wwht","mint","trit","trit","trit","trit"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_1221","trit","mint","trit","trit","trit","onio","wwht","wwht"
"field_1222","trit","mint","trit","trit","mint","wwht","wwht","trit"
"field_1223","trit","alfa","alfa","alfa","trit","trit","wwht","alfa"
"field_1224","alfa","alfa","trit","alfa","mint","wwht","alfa","wwht"
"field_1225","alfa","trit","trit","mint","trit","trit","alfa","trit"
"field_1226","mint","trit","trit","mint","trit","trit","alfa","trit"
"field_1227","trit","mint","trit","trit","mint","trit","trit","mint"
"field_1228","corn","wwht","wwht","corn","sgbt","corn","crrt","wwht"
"field_1229","alfa","alfa","trit","alfa","corn","alfa","crrt","trit"
"field_1230","alfa","corn","corn","alfa","corn","corn","lett","corn"
"field_1231","trit","corn","barl","mint","wwht","lett","corn","mint"
"field_1232","trit","alfa","mint","mint","mint","mint","trit","trit"
"field_1233","wwht","corn","corn","mint","lett","lett","corn","mint"
"field_1234","wwht","wwht","corn","wwht","wwht","barl","lett","corn"
"field_1235","trit","wwht","corn","trit","trit","corn","corn","corn"
"field_1236","wwht","mint","mint","mint","lett","lett","crrt","wwht"
"field_1237","corn","alfa","corn","trit","corn","wwht","crrt","trit"
"field_1238","canp","wwht","corn","corn","corn","corn","wwht","onio"
"field_1239","wwht","mint","lett","mint","mint","lett","sgbt","corn"
"field_1240","trit","trit","trit","trit","trit","trit","trit","corn"
"field_1241","canp","canp","corn","canp","canp","canp","trit","lett"
"field_1242","onio","onio","corn","onio","onio","onio","trit","mint"
"field_1243","onio","corn","corn","onio","mint","onio","corn","trit"
"field_1244","trit","trit","trit","alfa","mint","trit","barl","trit"
"field_1245","alfa","alfa","alfa","trit","alfa","onio","corn","corn"
"field_1246","alfa","corn","corn","alfa","alfa","barl","alfa","alfa"
"field_1247","onio","corn","corn","trit","onio","barl","alfa","alfa"
"field_1248","corn","corn","corn","alfa","mint","barl","alfa","alfa"
"field_1249","trit","alfa","corn","alfa","mint","barl","alfa","alfa"
"field_1250","trit","alfa","corn","trit","alfa","barl","alfa","alfa"
"field_1251","corn","trit","canp","trit","canp","corn","corn","alfa"
"field_1252","corn","trit","canp","trit","trit","corn","alfa","corn"
"field_1253","trit","alfa","corn","alfa","trit","wwht","wwht","trit"
"field_1254","trit","canp","trit","alfa","trit","alfa","wwht","trit"
"field_1255","wwht","sgbt","corn","corn","barl","onio","onio","wwht"
"field_1256","wwht","canp","trit","corn","barl","wwht","corn","lett"
"field_1257","trit","corn","corn","corn","onio","trit","corn","trit"
"field_1258","corn","onio","wwht","mint","mint","corn","corn","corn"
"field_1259","trit","corn","sgbt","alfa","onio","wwht","barl","trit"
"field_1260","trit","sgbt","corn","alfa","alfa","trit","wwht","sgbt"
"field_1261","alfa","alfa","alfa","trit","mint","onio","sgbt","corn"
"field_1262","alfa","alfa","alfa","alfa","alfa","alfa","trit","trit"
"field_1263","barl","corn","sgbt","barl","barl","onio","trit","sgbt"
"field_1264","wwht","barl","barl","trit","barl","wwht","wwht","onio"
"field_1265","trit","alfa","wwht","corn","barl","trit","corn","corn"
"field_1266","onio","corn","corn","barl","mint","corn","barl","onio"
"field_1267","trit","wwht","wwht","trit","alfa","onio","wwht","corn"
"field_1268","sgbt","barl","barl","trit","barl","wwht","sgbt","mint"
"field_1269","barl","corn","sgbt","barl","onio","onio","corn","trit"
"field_1270","onio","barl","sgbt","trit","corn","onio","sgbt","corn"
"field_1271","onio","sgbt","wwht","alfa","mint","onio","wwht","mint"
"field_1272","trit","wwht","barl","wwht","mint","wwht","barl","mint"
"field_1273","sgbt","trit","barl","trit","corn","barl","trit","trit"
"field_1274","trit","trit","trit","sgbt","barl","trit","corn","trit"
"field_1275","wwht","alfa","trit","alfa","trit","barl","wwht","trit"
"field_1276","alfa","trit","sgbt","trit","trit","wwht","barl","trit"
"field_1277","trit","sgbt","barl","trit","mint","trit","barl","corn"
"field_1278","trit","alfa","trit","alfa","alfa","trit","wwht","trit"
"field_1279","canp","trit","canp","canp","corn","alfa","wwht","trit"
"field_1280","canp","trit","canp","lett","corn","alfa","wwht","trit"
"field_1281","alfa","wwht","canp","barl","corn","barl","wwht","trit"
"field_1282","trit","alfa","trit","corn","onio","onio","canp","wwht"
"field_1283","wwht","barl","barl","corn","barl","wwht","canp","wwht"
"field_1284","sgbt","wwht","trit","sgbt","mint","corn","wwht","sgbt"
"field_1285","sgbt","trit","trit","sgbt","mint","corn","wwht","sgbt"
"field_1286","alfa","corn","corn","alfa","corn","wwht","corn","trit"
"field_1287","barl","barl","barl","sgbt","barl","mint","wwht","corn"
"field_1288","corn","wwht","trit","canp","mint","corn","wwht","corn"
"field_1289","corn","wwht","canp","wwht","sgbt","onio","onio","mint"
"field_1290","corn","wwht","canp","wwht","sgbt","lett","onio","mint"
"field_1291","trit","trit","alfa","alfa","alfa","alfa","crrt","alfa"
"field_1292","onio","crrt","onio","trit","mint","trit","alfa","onio"
"field_1293","corn","crrt","crrt","alfa","wwht","mint","wwht","corn"
"field_1294","canp","trit","corn","alfa","alfa","wwht","sgbt","wwht"
"field_1295","trit","trit","trit","alfa","alfa","alfa","sgbt","trit"
"field_1296","corn","trit","corn","alfa","alfa","trit","sgbt","wwht"
"field_1297","corn","crrt","crrt","mint","mint","mint","trit","mint"
"field_1298","corn","crrt","crrt","alfa","wwht","mint","mint","corn"
"field_1299","corn","trit","corn","sgbt","corn","wwht","lett","sgbt"
"field_1300","corn","trit","corn","sgbt","corn","wwht","lett","sgbt"
"field_1301","alfa","alfa","corn","alfa","sgbt","mint","crrt","corn"
"field_1302","corn","crrt","corn","trit","mint","trit","alfa","corn"
"field_1303","trit","barl","wwht","mint","mint","mint","wwht","mint"
"field_1304","trit","trit","sgbt","alfa","trit","alfa","mint","alfa"
"field_1305","wwht","wwht","corn","wwht","mint","onio","wwht","corn"
"field_1306","trit","alfa","trit","wwht","mint","trit","trit","alfa"
"field_1307","trit","alfa","trit","trit","mint","trit","barl","alfa"
"field_1308","canp","sgbt","barl","canp","onio","sgbt","corn","sgbt"
"field_1309","trit","trit","alfa","trit","mint","trit","trit","trit"
"field_1310","onio","trit","corn","canp","alfa","corn","corn","corn"
"field_1311","canp","alfa","corn","onio","trit","corn","corn","corn"
"field_1312","wwht","corn","corn","trit","mint","corn","corn","corn"
"field_1313","canp","trit","trit","canp","trit","trit","canp","wwht"
"field_1314","trit","wwht","trit","trit","canp","wwht","trit","canp"
"field_1315","trit","trit","canp","trit","trit","canp","wwht","canp"
"field_1316","wwht","sgbt","barl","corn","corn","corn","corn","sgbt"
"field_1317","trit","corn","barl","corn","lett","corn","corn","corn"
"field_1318","canp","trit","trit","canp","alfa","canp","crrt","sgbt"
"field_1319","trit","wwht","corn","barl","corn","corn","corn","corn"
"field_1320","trit","wwht","sgbt","canp","wwht","lett","onio","wwht"
"field_1321","trit","alfa","trit","barl","alfa","sgbt","lett","sgbt"
"field_1322","alfa","corn","corn","sgbt","mint","corn","corn","sgbt"
"field_1323","canp","trit","corn","corn","alfa","corn","corn","corn"
"field_1324","corn","barl","corn","alfa","sgbt","barl","wwht","lett"
"field_1325","alfa","trit","corn","corn","corn","corn","corn","wwht"
"field_1326","trit","corn","corn","alfa","mint","trit","wwht","corn"
"field_1327","canp","alfa","alfa","alfa","alfa","trit","corn","canp"
"field_1328","barl","barl","barl","barl","trit","onio","corn","corn"
"field_1329","corn","wwht","wwht","corn","onio","wwht","wwht","corn"
"field_1330","corn","wwht","trit","corn","onio","wwht","wwht","canp"
"field_1331","corn","trit","trit","trit","onio","corn","corn","corn"
"field_1332","corn","trit","trit","trit","mint","lett","corn","onio"
"field_1333","corn","trit","trit","trit","corn","corn","corn","corn"
"field_1334","trit","trit","trit","trit","mint","trit","trit","mint"
"field_1335","trit","mint","trit","trit","trit","trit","barl","trit"
"field_1336","trit","sgbt","barl","wwht","corn","onio","wwht","sgbt"
"field_1337","trit","trit","barl","trit","trit","trit","wwht","canp"
"field_1338","wwht","barl","trit","barl","wwht","wwht","wwht","canp"
"field_1339","trit","alfa","barl","alfa","alfa","onio","wwht","wwht"
"field_1340","trit","alfa","trit","alfa","alfa","alfa","barl","alfa"
"field_1341","sgbt","trit","trit","corn","wwht","corn","wwht","alfa"
"field_1342","corn","trit","trit","corn","trit","onio","trit","mint"
"field_1343","trit","corn","trit","trit","mint","alfa","alfa","trit"
"field_1344","alfa","alfa","alfa","trit","barl","corn","wwht","barl"
"field_1345","alfa","alfa","corn","wwht","mint","alfa","alfa","alfa"
"field_1346","trit","trit","corn","trit","barl","wwht","corn","wwht"
"field_1347","barl","barl","corn","wwht","barl","wwht","barl","wwht"
"field_1348","canp","trit","trit","alfa","barl","onio","wwht","corn"
"field_1349","trit","corn","wwht","barl","onio","mint","barl","wwht"
"field_1350","wwht","sgbt","corn","trit","wwht","corn","barl","wwht"
"field_1351","trit","corn","barl","barl","wwht","corn","corn","corn"
"field_1352","mint","trit","corn","alfa","trit","corn","corn","corn"
"field_1353","canp","wwht","sgbt","onio","wwht","canp","sgbt","wwht"
"field_1354","barl","corn","sgbt","corn","wwht","canp","sgbt","corn"
"field_1355","alfa","corn","sgbt","corn","wwht","canp","sgbt","corn"
"field_1356","wwht","wwht","canp","trit","corn","wwht","barl","canp"
"field_1357","barl","barl","trit","trit","barl","wwht","sgbt","corn"
"field_1358","wwht","wwht","canp","sgbt","corn","wwht","canp","canp"
"field_1359","trit","alfa","trit","alfa","onio","corn","corn","corn"
"field_1360","wwht","sgbt","wwht","wwht","canp","sgbt","barl","wwht"
"field_1361","trit","trit","wwht","trit","sgbt","wwht","barl","canp"
"field_1362","wwht","wwht","trit","corn","wwht","corn","barl","alfa"
"field_1363","trit","trit","trit","wwht","alfa","alfa","alfa","corn"
"field_1364","wwht","wwht","trit","corn","trit","corn","corn","trit"
"field_1365","canp","sgbt","corn","onio","onio","corn","sgbt","wwht"
"field_1366","canp","sgbt","corn","canp","onio","corn","sgbt","canp"
"field_1367","trit","corn","corn","trit","alfa","trit","trit","corn"
"field_1368","trit","corn","trit","trit","mint","corn","trit","corn"
"field_1369","trit","wwht","sgbt","barl","trit","alfa","alfa","wwht"
"field_1370","trit","alfa","corn","alfa","alfa","alfa","trit","corn"
"field_1371","wwht","corn","corn","wwht","corn","onio","wwht","wwht"
"field_1372","trit","alfa","corn","trit","mint","crrt","trit","corn"
"field_1373","trit","trit","corn","barl","trit","trit","corn","trit"
"field_1374","corn","corn","trit","onio","trit","wwht","corn","trit"
"field_1375","trit","corn","trit","alfa","mint","wwht","corn","wwht"
"field_1376","trit","trit","barl","alfa","trit","trit","corn","trit"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_1378","trit","corn","trit","trit","corn","mint","wwht","corn"
"field_1379","trit","wwht","sgbt","barl","mint","onio","wwht","wwht"
"field_1380","trit","mint","trit","trit","trit","trit","alfa","trit"
"field_1381","trit","trit","trit","trit","trit","trit","trit","trit"
"field_1382","lett","trit","trit","mint","trit","alfa","trit","trit"
"field_1383","trit","sgbt","barl","wwht","canp","canp","wwht","wwht"
"field_1384","trit","canp","wwht","corn","barl","wwht","canp","wwht"
"field_1385","canp","trit","trit","canp","wwht","corn","corn","corn"
"field_1386","trit","wwht","canp","wwht","sgbt","corn","corn","corn"
"field_1387","sgbt","trit","barl","canp","wwht","wwht","canp","canp"
"field_1388","trit","canp","wwht","sgbt","barl","wwht","barl","wwht"
"field_1389","canp","trit","sgbt","corn","corn","corn","barl","corn"
"field_1390","alfa","trit","alfa","alfa","mint","wwht","sgbt","alfa"
"field_1391","sgbt","trit","trit","sgbt","alfa","wwht","barl","corn"
"field_1392","canp","trit","sgbt","trit","alfa","sgbt","wwht","canp"
"field_1393","trit","barl","wwht","barl","wwht","wwht","wwht","trit"
"field_1394","trit","wwht","barl","trit","trit","onio","trit","corn"
"field_1395","trit","wwht","corn","wwht","wwht","mint","alfa","alfa"
"field_1396","trit","wwht","sgbt","onio","trit","corn","trit","sgbt"
"field_1397","sgbt","onio","trit","trit","wwht","sgbt","onio","wwht"
"field_1398","barl","wwht","wwht","barl","wwht","wwht","barl","mint"
"field_1399","corn","trit","trit","sgbt","onio","trit","sgbt","wwht"
"field_1400","trit","wwht","wwht","barl","sgbt","corn","barl","onio"
"field_1401","trit","alfa","alfa","trit","corn","alfa","wwht","alfa"
"field_1402","sgbt","corn","wwht","trit","wwht","sgbt","wwht","wwht"
"field_1403","trit","trit","trit","sgbt","trit","trit","corn","trit"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_1405","corn","wwht","wwht","trit","onio","trit","wwht","corn"
"field_1406","wwht","mint","wwht","corn","wwht","corn","wwht","wwht"
"field_1407","corn","wwht","wwht","barl","mint","lett","onio","wwht"
"field_1408","wwht","mint","wwht","wwht","wwht","mint","mint","corn"
"field_1409","corn","trit","corn","trit","corn","corn","trit","corn"
"field_1410","trit","trit","crrt","trit","onio","corn","trit","mint"
"field_1411","corn","trit","sgbt","wwht","canp","wwht","lett","wwht"
"field_1412","trit","trit","trit","corn","trit","corn","wwht","corn"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_1414","onio","alfa","sgbt","wwht","canp","wwht","corn","wwht"
"field_1415","barl","wwht","corn","barl","wwht","onio","corn","wwht"
"field_1416","trit","mint","trit","corn","mint","crrt","trit","corn"
"field_1417","alfa","alfa","alfa","alfa","alfa","alfa","trit","alfa"
"field_1418","trit","corn","trit","trit","mint","corn","corn","corn"
"field_1419","trit","sgbt","trit","trit","corn","corn","corn","corn"
"field_1420","wwht","barl","sgbt","mint","onio","onio","sgbt","corn"
"field_1421","trit","trit","trit","trit","corn","corn","corn","lett"
"field_1422","trit","barl","corn","trit","mint","onio","trit","alfa"
"field_1423","trit","onio","trit","trit","mint","trit","alfa","alfa"
"field_1424","canp","sgbt","sgbt","lett","lett","sgbt","trit","sgbt"
"field_1425","trit","trit","trit","trit","trit","onio","trit","trit"
"field_1426","trit","trit","trit","trit","trit","trit","trit","trit"
"field_1427","trit","onio","trit","trit","mint","trit","trit","mint"
"field_1428","barl","trit","trit","alfa","trit","wwht","corn","trit"
"field_1429","trit","trit","trit","trit","trit","wwht","corn","trit"
"field_1430","wwht","corn","corn","wwht","mint","wwht","wwht","corn"
"field_1431","trit","trit","trit","trit","trit","trit","corn","trit"
"field_1432","trit","alfa","barl","trit","trit","trit","corn","trit"
"field_1433","trit","corn","sgbt","trit","trit","onio","sgbt","barl"
"field_1434","trit","trit","trit","lett","lett","sgbt","wwht","wwht"
"field_1435","trit","trit","trit","onio","mint","sgbt","wwht","wwht"
"field_1436","trit","trit","corn","onio","trit","trit","sgbt","trit"
"field_1437","barl","lett","barl","barl","lett","barl","barl","sgbt"
"field_1438","alfa","corn","barl","trit","mint","wwht","barl","corn"
"field_1439","trit","mint","mint","mint","mint","mint","onio","mint"
"field_1440","sgbt","wwht","trit","trit","sgbt","wwht","trit","sgbt"
"field_1441","corn","corn","barl","corn","corn","wwht","barl","barl"
"field_1442","barl","trit","trit","sgbt","trit","sgbt","sgbt","trit"
"field_1443","trit","alfa","corn","corn","mint","lett","sgbt","alfa"
"field_1444","corn","sgbt","trit","trit","mint","sgbt","trit","trit"
"field_1445","trit","sgbt","trit","trit","sgbt","trit","trit","sgbt"
"field_1446","trit","sgbt","trit","trit","sgbt","trit","trit","sgbt"
"field_1447","wwht","corn","crrt","sgbt","barl","wwht","crrt","corn"
"field_1448","lett","alfa","trit","alfa","alfa","corn","lett","corn"
"field_1449","canp","canp","alfa","sgbt","alfa","sgbt","sgbt","canp"
"field_1450","lett","wwht","barl","lett","barl","barl","sgbt","mint"
"field_1451","trit","trit","barl","alfa","barl","corn","wwht","lett"
"field_1452","trit","crrt","sgbt","trit","trit","onio","crrt","corn"
"field_1453","canp","trit","corn","corn","barl","corn","barl","trit"
"field_1454","barl","barl","corn","wwht","barl","lett","barl","lett"
"field_1455","canp","corn","barl","wwht","sgbt","barl","trit","lett"
"field_1456","sgbt","trit","trit","trit","mint","sgbt","barl","wwht"
"field_1457","barl","trit","corn","trit","onio","mint","barl","wwht"
"field_1458","barl","trit","sgbt","trit","trit","corn","barl","wwht"
"field_1459","alfa","wwht","trit","barl","barl","barl","lett","alfa"
"field_1460","trit","trit","trit","onio","wwht","wwht","sgbt","wwht"
"field_1461","trit","corn","sgbt","trit","barl","onio","trit","trit"
"field_1462","trit","trit","trit","trit","corn","trit","trit","corn"
"field_1463","alfa","trit","trit","trit","mint","mint","trit","trit"
"field_1464","trit","wwht","trit","alfa","mint","wwht","wwht","alfa"
"field_1465","onio","trit","trit","trit","mint","trit","alfa","trit"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_1467","trit","alfa","corn","trit","corn","corn","sgbt","corn"
"field_1468","trit","wwht","sgbt","trit","corn","corn","sgbt","corn"
"field_1469","trit","trit","corn","trit","corn","onio","sgbt","corn"
"field_1470","alfa","trit","corn","trit","mint","trit","trit","mint"
"field_1471","crrt","corn","trit","trit","corn","corn","trit","trit"
"field_1472","corn","trit","trit","trit","trit","trit","alfa","trit"
"field_1473","trit","corn","alfa","alfa","trit","trit","sgbt","alfa"
"field_1474","onio","onio","corn","onio","trit","wwht","crrt","sgbt"
"field_1475","canp","alfa","alfa","alfa","alfa","sgbt","wwht","lett"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_1477","trit","trit","trit","trit","trit","trit","trit","mint"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_1480","corn","trit","trit","trit","onio","trit","alfa","trit"
"field_1481","corn","trit","corn","trit","corn","trit","sgbt","corn"
"field_1482","wwht","corn","wwht","wwht","mint","mint","sgbt","wwht"
"field_1483","trit","trit","corn","corn","corn","corn","corn","corn"
"field_1484","trit","trit","corn","corn","trit","trit","corn","crrt"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_1486","trit","mint","trit","trit","corn","crrt","trit","trit"
"field_1487","onio","onio","trit","trit","corn","alfa","trit","trit"
"field_1488","alfa","alfa","corn","alfa","alfa","alfa","barl","alfa"
"field_1489","alfa","alfa","alfa","alfa","alfa","alfa","barl","alfa"
"field_1490","trit","mint","barl","trit","trit","wwht","wwht","trit"
"field_1491","corn","sgbt","sgbt","alfa","alfa","alfa","trit","sgbt"
"field_1492","trit","trit","trit","trit","trit","corn","wwht","corn"
"field_1493","alfa","alfa","corn","trit","alfa","alfa","wwht","onio"
"field_1494","canp","wwht","mint","canp","mint","sgbt","wwht","mint"
"field_1495","canp","canp","canp","canp","canp","canp","wwht","canp"
"field_1496","trit","trit","trit","trit","trit","trit","trit","trit"
"field_1497","alfa","trit","trit","trit","trit","trit","trit","mint"
"field_1498","alfa","alfa","trit","alfa","trit","mint","trit","mint"
"field_1499","onio","trit","barl","corn","mint","onio","wwht","corn"
"field_1500","alfa","alfa","corn","alfa","alfa","lett","barl","mint"
"field_1501","trit","trit","trit","mint","trit","trit","alfa","trit"
"field_1502","trit","trit","trit","corn","barl","trit","trit","mint"
"field_1503","trit","trit","trit","corn","barl","trit","trit","alfa"
"field_1504","trit","trit","trit","mint","mint","trit","barl","trit"
"field_1505","trit","mint","trit","trit","mint","trit","trit","mint"
"field_1506","wwht","corn","corn","trit","barl","trit","trit","mint"
"field_1507","trit","trit","mint","trit","trit","mint","trit","mint"
"field_1508","corn","wwht","trit","trit","trit","corn","trit","trit"
"field_1509","barl","wwht","trit","trit","corn","barl","trit","trit"
"field_1510","trit","trit","corn","trit","trit","trit","trit","trit"
"field_1511","trit","trit","sgbt","onio","lett","sgbt","trit","sgbt"
"field_1512","trit","corn","barl","trit","trit","alfa","barl","trit"
"field_1513","trit","alfa","corn","alfa","mint","alfa","trit","trit"
"field_1514","trit","mint","trit","trit","mint","onio","trit","trit"
"field_1515","trit","mint","trit","trit","mint","trit","alfa","mint"
"field_1516","canp","wwht","canp","wwht","canp","wwht","canp","wwht"
